"1249","7994","335","199","1528","4237","511","3219","4397","2201","8883","8033","2442","9821","3373"
"1169","10","1058","4203","8145","5907","6514","5317","3513","6672","7466","822","2744","8577","9904"
"9258","8653","6337","9716","508","3605","5627","5432","3500","1623","2283","464","2482","6369","1014"
"3848","2773","8048","5065","6520","6986","2002","3410","424","2190","1853","577","5795","7298","9067"
"9963","7309","5625","2715","7813","1667","4035","5289","6187","6695","4246","3896","9363","41","5585"
"7173","453","4981","3937","428","1431","1678","8688","7846","1226","3902","3936","9817","7830","4906"
"2363","174","2294","343","6071","3745","2434","9760","4140","1323","7345","978","1366","6111","7131"
"4189","3033","8310","1920","7723","4920","7610","8843","2782","339","4373","8275","348","9859","6216"
"5447","5849","7815","5706","6823","2040","7421","1863","7379","6113","5199","3028","5572","3825","2083"
"9811","9196","3445","1889","123","9535","6404","6850","3301","9150","591","2428","3830","279","218"
"6800","7024","862","3111","448","551","1609","791","5105","7124","7470","4591","1045","5275","3070"
"7836","1157","9868","1278","7319","4833","4813","9753","710","9463","2834","1848","6537","7668","3714"
"5916","6559","206","2617","6385","5692","8205","7612","5970","347","4861","8448","4108","2498","501"
"6489","7765","2043","1956","2163","9513","1532","7841","7059","9223","5691","4495","9787","1312","9331"
"9922","608","7899","549","1364","5003","6440","1567","8486","1649","9419","4285","5496","7460","1877"
"1650","8007","5877","7153","6997","5385","5904","2148","780","5273","7861","4161","1753","5059","1064"
"4031","3895","5278","3576","2971","5955","3564","4432","5869","4922","5380","9903","3804","7078","8890"
"2951","4704","72","5763","663","1692","4148","954","5770","5079","4271","945","9004","3743","1898"
"1801","6272","9676","1355","6512","3539","838","6368","4238","7245","8854","8915","2429","5933","3932"
"252","9995","2577","9702","7529","9889","1624","3100","3070","5713","8073","6316","1885","5362","3056"
"1176","1716","6747","7723","4497","7353","3089","3896","2465","9046","8352","9724","9996","1220","2635"
"4083","8645","6232","4068","2236","559","1","3194","5856","9898","7629","2549","1830","4281","5246"
"1251","6135","8165","2160","1152","1058","2388","967","3927","7136","8391","5531","1180","8084","6006"
"179","2917","9482","2508","7266","2203","1149","1378","5204","709","5702","797","9815","1887","4920"
"3975","3258","8028","2380","4910","6774","416","156","430","5790","4636","994","6574","8264","6601"
"7406","1245","1417","2419","810","4124","5426","8570","9550","8377","7069","8618","7058","4078","9750"
"5525","5159","6349","2729","6261","2244","1178","4462","244","530","6742","8855","279","6758","4543"
"6742","6031","8242","2185","1231","4205","1994","6123","9217","408","8230","953","1267","5329","9373"
"981","7376","2800","300","1700","2210","1511","4201","1394","2256","6642","2091","8165","8936","9841"
"2037","8322","4123","9494","6","5714","5963","8028","1586","1330","5893","2493","8990","2317","9677"
"8706","110","6777","5230","8889","6959","2436","4767","6024","275","7853","4244","5924","7455","8115"
"6554","4528","6919","6894","624","1782","4820","8063","7094","8631","2315","2136","1910","5442","2494"
"6091","3157","533","3054","772","6744","3735","7223","6917","9670","5970","505","277","2642","5777"
"8103","7656","5669","9469","3346","1580","9053","9064","6436","3113","8920","1909","4300","3894","5246"
"8477","6572","6316","7073","2051","7236","2459","9638","1426","2044","4542","2401","2508","1251","2416"
"2258","1425","8219","8267","4753","2017","5745","6660","3114","5042","8541","2392","3641","448","7374"
"1524","4772","5592","8994","6375","235","1187","776","905","2528","819","2311","3432","7414","7950"
"4122","9287","492","8397","9154","8005","8486","6211","4857","4909","3567","9262","1992","2307","737"
"1824","3224","138","4720","9386","9160","4533","425","8093","4275","900","9390","6608","8847","1051"
"3679","4064","2582","4401","2871","827","1124","8109","524","11","2213","5904","2068","8803","9275"
"1379","5896","7531","6018","1647","6377","7227","6405","6702","2709","4073","7421","1269","4024","6563"
"4108","6974","6370","2075","2573","8071","7517","389","9818","9164","3499","834","122","4949","97"
"2122","2817","3008","1013","5755","6245","3692","9161","7860","7233","6442","7285","2656","684","6564"
"2822","1523","4951","1194","6872","9894","3593","801","5141","4594","9787","9402","1786","1086","4450"
"8612","1726","9673","4976","3777","9730","1367","5177","3481","615","331","9781","3888","4402","1288"
"9787","2600","3072","9864","3704","8583","8314","4889","8690","2662","9046","4026","1056","4703","5971"
"6025","1845","4724","1923","3290","6976","4079","4662","4231","4869","5645","5338","3994","7657","7897"
"516","2411","2303","9226","9117","1338","1558","6124","2798","8348","8927","3919","3433","9574","2512"
"3058","2845","4202","9738","2382","7175","7876","2745","258","7400","2595","929","4385","3291","4040"
"563","8365","8291","9616","8290","4786","3431","6002","6873","8450","4173","1015","4457","7172","6791"
"732","211","7340","9247","5321","3577","6409","3172","3103","613","5233","1282","6931","9750","2397"
"5331","8733","910","1139","4903","8719","1356","3351","1077","8678","714","7841","9727","5858","7911"
"5213","1270","8998","146","8069","7155","3006","7899","5662","9888","19","6073","2341","314","7168"
"5739","8104","6600","1105","1039","1412","968","6689","1428","5794","5246","8336","3008","3152","8492"
"6998","8241","4865","6079","11","8244","644","5823","3106","5255","7493","2661","9976","1791","2566"
"5786","7153","2392","3963","3139","1101","9392","4792","8846","5484","6451","1483","3420","1479","3620"
"1961","8476","778","5184","6985","8555","9715","3762","8114","3485","3691","8982","3286","4953","1863"
"2062","3467","7960","5725","5686","6462","3580","663","2649","6230","2641","3754","2383","8281","6741"
"4915","2349","2881","9430","230","9259","8157","8624","8822","9731","103","4579","1219","431","2920"
"7286","5943","1119","5790","541","111","685","7816","9148","7577","817","8327","9897","4066","4275"
